,type,id,attributes.bioproject,attributes.accession,attributes.samples-count,attributes.is-private,attributes.secondary-accession,attributes.centre-name,attributes.study-abstract,attributes.study-name,attributes.data-origination,attributes.last-update,relationships.biomes.data
10,studies,MGYS00003800,PRJEB21443,MGYS00003800,154,False,ERP023686,UCSDMI,"The sleep deprivation experiment was done in wild flies or in pumilio knockdown expression (using RNA interference). Pumilio seems critical for the homeostatic response to sleep deprivation.When wild flies are sleep deprived, they respond by sleeping more after the deprivation stimulus is removed. Pumilio RNAi (expression knockdown) sleep less after sleep deprivation. Analyzing these samples, we can see if sleep deprivation leads to the disregulation of intestinal microbes, and if pumilio plays a role on this regulation.",Dominguez sleep deprived flies,SUBMITTED,2019-02-19T18:44:34,"[{'id': 'root:Host-associated:Insecta', 'type': 'biomes'}]"
11,studies,MGYS00003735,PRJEB29073,MGYS00003735,1,False,ERP111342,KING ABDULAZIZ UNIVERSITY,Migratory locust gut microbiome isolated from Saudia Arabia,Migratory locust,SUBMITTED,2019-02-18T11:31:16,"[{'id': 'root:Host-associated:Insecta:Digestive system', 'type': 'biomes'}]"
12,studies,MGYS00003705,PRJEB14927,MGYS00003705,388,False,ERP016607,UCSDMI,"Samples of bees, royal jelly from honey bees (Apis mellifera) in Puerto Rico. Includes whole head, whole larva, whole pupa, whole gut and royal jelly. Effect of Tetracycline application.",Microbiome of honey bees from Puerto Rico,SUBMITTED,2018-12-19T14:30:20,"[{'id': 'root:Host-associated:Insecta', 'type': 'biomes'}]"
13,studies,MGYS00003201,PRJEB26091,MGYS00003201,1,False,ERP108064,EMG,"The Blattabacterium cuenoti BPAY Third Party Annotation (TPA) assembly was derived from the primary whole genome shotgun (WGS) data set: PRJDB1602.  This project includes samples from the following biomes: Host-associated, Insecta, Digestive system",EMG produced TPA metagenomics assembly of the Genome sequence of Blattabacterium cuenoti str. BPAY (Blattabacterium cuenoti BPAY) data set.,SUBMITTED,2018-10-25T15:57:57,"[{'id': 'root:Host-associated:Insecta:Digestive system', 'type': 'biomes'}]"
14,studies,MGYS00002713,PRJEB28193,MGYS00002713,255,False,ERP110369,"Uppsala University, ICM, Microbiology","The aim was to investigate the effect of genetics and environment on gut bacteria in adult Anopheles and Aedes mosquito. The mosquitoes were both co-reared and reared separately. Larval water, sugar feeding source and adult mosquito-guts were analysed for bacteria.",Effect of genetics and environment on gut bacteria in Anopheles and Aedes mosquitoes.,SUBMITTED,2018-08-29T14:55:19,"[{'id': 'root:Engineered:Lab enrichment:Defined media', 'type': 'biomes'}, {'id': 'root:Environmental:Aquatic:Freshwater', 'type': 'biomes'}, {'id': 'root:Host-associated:Insecta:Digestive system', 'type': 'biomes'}]"
15,studies,MGYS00002336,PRJEB24507,MGYS00002336,1,False,ERP106338,EMBL-EBI,"The insect metagenome Third Party Annotation (TPA) assembly was derived from the primary whole genome shotgun (WGS) data set: PRJNA268300.  This project includes samples from the following biomes: Host-associated, Insecta.",EMG produced TPA metagenomics assembly of the Banana aphid (Pentalonia nigronervosa) haemolymph Metagenome (insect metagenome) data set.,SUBMITTED,2018-04-12T10:14:36,"[{'id': 'root:Host-associated:Insecta', 'type': 'biomes'}]"
16,studies,MGYS00002333,PRJEB24111,MGYS00002333,2,False,ERP105916,EMBL-EBI,"The Bacteria Third Party Annotation (TPA) assembly was derived from the primary whole genome shotgun (WGS) data set: PRJNA326914.  This project includes samples from the following biomes: Host-associated, Arthropoda, Digestive system, Gut.",EMG produced TPA metagenomics assembly of the Bacteria Genome sequencing and assembly (Bacteria) data set.,SUBMITTED,2018-04-12T07:47:35,"[{'id': 'root:Host-associated:Insecta', 'type': 'biomes'}]"
17,studies,MGYS00002114,PRJEB24265,MGYS00002114,9,False,ERP106076,University of Gdansk,microbiome profile of fungivorous thrips Hoplothrips carpathicus,microbiome profile of fungivorous thrips Hoplothrips carpathicus,SUBMITTED,2018-01-11T10:53:14,"[{'id': 'root:Host-associated:Insecta:Digestive system', 'type': 'biomes'}]"
18,studies,MGYS00002085,PRJEB23860,MGYS00002085,21,False,ERP105639,University of Gdansk,"In the present study we used Next Generation Sequencing (NGS) in 16S rRNA gene analysis to define microbial communities of seven insect species (Atelura formicaria, Dedrophilus pygmaeus, Leptacinus formicetorum, Monotoma angusticollis, Myrmechixenus subterraneus, Ptenidium formicetorum and Thiasophila angulata) inhabiting anthills of two ant species: Formica rufa and F. polyctena. Moreover, we analyzed obtained microbiome profiles to verify the presence of known endosymbionts.",First insight into microbial communities associated with species belonging to orders Coleoptera and Thysanura inhabiting anthills of Formica rufa and F. polyctena,SUBMITTED,2017-12-15T16:08:48,"[{'id': 'root:Host-associated:Insecta', 'type': 'biomes'}]"
19,studies,MGYS00001998,PRJEB23277,MGYS00001998,129,False,ERP105016,Institut de recherche experimentale et clinique - IREC,"Insects are frequently associated with bacteria that can have significant ecological and evolutionary impacts on their hosts. Much progress has been made to unravel the diversity and effects of obligate and facultative endosymbionts. Nevertheless, few studies have examined the influence of environmental factors to microbiome composition of aphids. The current work assessed the diversity of bacterial communities of five cereal aphid species collected across Morocco and covering a wide range of environmental conditions. Deep 16S rRNA sequencing enabled us to identify 17 bacterial Operational Taxonomic Units (OTU). Facultative endosymbionts were totally absent in D. noxia, R. maïdis and R. padi, whereas a high relative prevalence of R. insecticola and S. symbiotica was observed in S. avenae and S. maydis, respectively. In addition to these symbiotic partners, Pseudomonas, Acinetobacter, Pantoea, Erwinia and Staphyloccocus were also identified in the aphid species R. padi, R. maïdis and S. avenae, suggesting that the aphid microbiome is not limited to the presence of endosymbiotic bacteria. Beside the significant association between host species and bacterial communities, a significant inverse correlation was also found between altitude and α-diversity.",A large-scale field study of bacterial communities in cereal aphid across Morocco,SUBMITTED,2017-11-06T10:35:44,"[{'id': 'root:Host-associated:Insecta:Digestive system', 'type': 'biomes'}]"
20,studies,MGYS00001997,PRJEB22873,MGYS00001997,2,False,ERP104589,University of Gdansk,"In the present study we used Next Generation Sequencing (NGS) in 16S rRNA gene analysis to define whether the bacterial composition varies among the different developmental stages of H. carpathicus. We analyzed obtained microbiome profiles to verify the presence of known endosymbionts. Moreover, we delineate metabolic potentials of the microorganisms associated with different developmental stages of H. carpathicus.",First insight into microbiome profile of fungivorous thrips Hoplothrips carpathicus (Insecta: Thysanoptera) at different developmental stages,SUBMITTED,2017-11-06T09:18:51,"[{'id': 'root:Host-associated:Insecta', 'type': 'biomes'}]"
21,studies,MGYS00001961,PRJEB22282,MGYS00001961,2,False,ERP103960,"JOHN INNES CENTRE, NORWICH, UK.",Gut bacteria from giant stick insect guts,Gut bacteria from giant stick insect guts,SUBMITTED,2017-10-04T13:47:53,"[{'id': 'root:Host-associated:Insecta:Digestive system', 'type': 'biomes'}]"
22,studies,MGYS00001896,PRJEB21763,MGYS00001896,1,False,ERP024049,LSA-DISTAL-UNIBO,Tick,Tick,SUBMITTED,2017-07-21T08:51:00,"[{'id': 'root:Host-associated:Insecta', 'type': 'biomes'}]"
23,studies,MGYS00001785,PRJEB9958,MGYS00001785,1,False,ERP011118,UNIVERSITY OF SOUTH BOHEMIA,"Symbiosis between insects and bacteria result in a variety of arrangements, genomic modifications, and metabolic interconnections. Here, we present genomic, phylogenetic, and morphological characteristics of a symbiotic system associated with Melophagus ovinus, a member of the blood-feeding family Hippoboscidae. The system comprises four unrelated bacteria representing different stages in symbiosis evolution, from typical obligate mutualists inhabiting bacteriomes to freely associated commensals and parasites. Interestingly, the whole system provides a remarkable analogy to the association between Glossina and its symbiotic bacteria. In both, the symbiotic systems are composed of an obligate symbiont and two facultative intracellular associates, Sodalis and Wolbachia. In addition, extracellular Bartonella resides in the gut of Melophagus. However, the phylogenetic origins of the two obligate mutualist symbionts differ. In Glossina, the mutualistic Wigglesworthia appears to be a relatively isolated symbiotic lineage, whereas in Melophagus, the obligate symbiont originated within the widely distributed Arsenophonus cluster. Although phylogenetically distant, the two obligate symbionts display several remarkably similar traits (e.g., transmission via the host's “milk glands” or similar pattern of genome reduction). To obtain better insight into the biology and possible role of the M. ovinus obligate symbiont, “Candidatus Arsenophonus melophagi,” we performed several comparisons of its gene content based on assignments of the Cluster of Orthologous Genes (COG). Using this criterion, we show that within a set of 44 primary and secondary symbionts, “Ca. Arsenophonus” is most similar to Wigglesworthia. On the other hand, these two bacteria also display interesting differences, such as absence of flagellar genes in Arsenophonus and their presence in Wigglesworthia. This finding implies that a flagellum is not essential for bacterial transmission via milk glands.",Arsenophonus and Sodalis Symbionts in Louse Flies: an Analogy to the Wigglesworthia and Sodalis System in Tsetse Flies,SUBMITTED,2017-06-05T13:18:06,"[{'id': 'root:Host-associated:Insecta:Digestive system', 'type': 'biomes'}]"
24,studies,MGYS00001768,PRJEB17080,MGYS00001768,82,False,ERP018941,LABORATORIO NACIONAL DE CIENCIA E TECNOLOGIA DO BI,"Due to their ability in digesting lignocellulose, termites are key organisms in the ecosystems that maintain carbon balance and incorporate organic matter into the soil. They are also considered the world's smallest bioreactors. The evolution of termites was marked by modifications on symbiont composition and acquisition of new feeding strategies that improved the digestion of lignocellulose resulting in the diversification of food sources. Nevertheless, some aspects of lignocellulose digestion in neotropical species are poorly known and studies are necessary to further comprehend their impact on the environment and their potential in the new bioeconomy. The aim of this proposal will be to study the digestion of lignocellulose and the community structure of the symbiotic microbiota in six species of neotropical higher termites by integrating ecological and molecular analyses. We will first compare microbiota functions of Cornitermes cumulans based on metagenomics and metatranscriptomic analyses. Then we will evaluate the activity of lignocellulases and the microbial community composition by six species of higher termites with different feeding strategies using enzymatic assays and 16S and ITS sequencing. We suggest that C. cumulans stores food in order to facilitate the digestion of lignocellulose by soil microorganisms before ingestion. In addition, both lignocellulose digestion and microbiota functional composition will be different according to termite feeding specialization. The results of this study will be significant to further understand the symbiotic relationship between the microbiota and termites.",ECOLOGICAL AND MOLECULAR ASPECTS OF LIGNOCELLULOSE DIGESTION IN NEOTROPICAL HIGHER TERMITES,SUBMITTED,2017-05-24T14:46:10,"[{'id': 'root:Host-associated:Insecta', 'type': 'biomes'}]"
25,studies,MGYS00001731,PRJEB7708,MGYS00001731,30,False,ERP008645,IMPERIAL COLLEGE,16S pyrosequencing of the microbiota in Anopheles gambiae mosquitoes after bloodfeeding on blood treated or not with therapeutic concentrations of penicillin-streptomycin antibiotic cocktail.,16S pyrosequencing of the microbiota in Anopheles gambiae mosquitoes after bloodfeeding on blood treated or not with penicillin-streptomycin antibiotic cocktail.,SUBMITTED,2017-05-04T10:58:26,"[{'id': 'root:Host-associated:Insecta', 'type': 'biomes'}]"
26,studies,MGYS00001726,PRJEB7417,MGYS00001726,1,False,ERP007145,CENTRE FOR ECOLOGY AND HYDROLOGY,TODO,Bombus terrestris gut microbiome,SUBMITTED,2017-05-02T11:31:44,"[{'id': 'root:Host-associated:Insecta', 'type': 'biomes'}]"
27,studies,MGYS00001304,PRJEB16059,MGYS00001304,18,False,ERP017901,Centre for Ecology and Conservation,"Resistance to a range of insecticides is conferred by upregulation of the cytrochrome P450 gene Cyp6g1 in Drosophila melanogaster, and has been associated with sex-specific pleiotropic effects on behaviour and fitness. Cyp6g1 is primarily overexpressed in the gut in insecticide resistant individuals and metabolises a large range of molecules, and thus upregulation may alter the gut environment and the community composition of the gut microbiota. The community composition of gut microbiota can have profound effects on behaviour and fitness, and if Cyp6g1 expression can explain differences in gut microbiota then it may help explain its observed fitness effects. Comparing microbial community composition between the guts of insecticide resistant and susceptible individuals (high and low Cyp6g1 expression, respectively) via 16s rRNA sequencing would be the first necessary experiment to demonstrate that insecticide resistance can alter behaviour and fitness by modifying the gut microbiome.",Can insecticide resistance alter behaviour and fitness by modifying the gut microbiome?,SUBMITTED,2016-11-14T16:55:30,"[{'id': 'root:Host-associated:Insecta:Digestive system', 'type': 'biomes'}]"
28,studies,MGYS00001232,PRJEB3414,MGYS00001232,14,False,ERP002663,UV,"Bacterial symbionts of insects have many metabolic activities that are absent in their hosts, and vice versa.  Blattabacterium lives inside the fat body cells of most of the cockroaches and plays an important role in nitrogen recycling. These insects also carry a variety of exosymbionts attached to the gastrointestinal walls, which collaborate in digestion and act as a barrier against colonization by pathogens, among other functions. For this work, the cockroach Blattella germanica was chosen in part by its importance as an indoor pest and also, because of its experimental convenience due to its short life cycle. The mode of acquisition of the gut exosymbionts is unknown, as well as the dynamics of their ecological succession across the life cycle of the insect. We have characterized the intestinal flora by different approaches. First, electron scanning microscopy confirmed the presence of a bacterial biofilm exclusively in the hindgut. qPCR revealed that the bacterial load in the gut increases with age. Pyrosequencing the hyper-variable regions V1-V3 of the 16S rRNA genes present in the guts of all the nymphal instars and adults of B. germanica revealed that the microbial composition is stage-specific through the development of the insect. Last, analysis of the embryos demonstrated that Blattabacterium is the only symbiont inherited maternally via the eggs, running out to elucidate the mode of adquisition of the intestinal microbiota.",Ontogeny of the gut microbiota in the cockroach Blattella germanica,SUBMITTED,2016-09-27T09:44:49,"[{'id': 'root:Host-associated:Insecta:Digestive system', 'type': 'biomes'}]"
29,studies,MGYS00001106,PRJEB14361,MGYS00001106,1,False,ERP015998,Universita degli studi di Milano,"The feeding behavior of insects may influence the associated bacterial community; this possibility and its magnitude are currently a matter of debate. Using as model the major pest of commodities, Plodia interpunctella, and adopting a culture-independent approach, the impact of different food substrates on the host-associated bacterial communities was evaluated. The analysis of similarity confirmed the differences among microbiotas of moths fed with five substrates and the diet is the only tested factor that explains the observed dissimilarity. The few bacteria shared between food and insect, provide evidences for a limited conveyance of bacteria to the host by diet; more likely, diets with different composition indirectly promote changes on the insect’s microbiota. Moth microbiotas were characterized by two enterotypes, associated with insect fed on diet rich in carbohydrates and proteins, respectively. These results were also confirmed by statistical analyses performed on the predicted functional potential. A core microbiota composed of six taxa was shared between eggs and adults, regardless of the population of origin. The finding of possible human and animal pathogens on chili and in the microbiotas of moths fed on it, open to the possibility that P. interpunctella may convey, through frass, potential pathogens to stored products.","To evaluate, using as model the major pest of commodities, Plodia interpunctella, and adopting a culture-independent approach, the impact of different food substrates on the host-associated bacterial communities.",SUBMITTED,2016-06-22T09:56:48,"[{'id': 'root:Host-associated:Insecta:Digestive system', 'type': 'biomes'}]"
30,studies,MGYS00000361,PRJEB4985,MGYS00000361,3,False,ERP004327,ARO-NYRC,"Facultative bacterial endosymbionts are common, influential associates of arthropods, yet their movement among host species has not been well documented. Plant-mediated transmission of Rickettsia was shown for the whitefly Bemisia tabaci. Bemisia tabaci in USA cotton fields harbors the secondary symbionts Rickettsia, and Hamiltonella, and co-occurs with Trialeurodes sp. nr. abutiloneus whiteflies. To determine whether symbionts may be shared, the microbial diversity of these whiteflies on cotton across the USA was analyzed. Trialeurodes sp. nr. abutiloneus bore Portiera, Pseudomonas, Serratia, Arsenophonus and Wolbachia. No Rickettsia or Hamiltonella were detected. These results provide no evidence for horizontal transmission of symbionts between these whitefly genera.",Bacterial community composition of banded-winged whitefly,SUBMITTED,2016-01-20T14:12:06,"[{'id': 'root:Host-associated:Insecta', 'type': 'biomes'}]"
31,studies,MGYS00000494,PRJEB1670,MGYS00000494,1564,False,ERP002372,SC,"For information on this project, contributing investigators and studies, sample details, and data sharing policies please visit http://www.malariagen.net/node/287",Anopheles_Genome_Variation_Project,SUBMITTED,2016-01-20T14:12:06,"[{'id': 'root:Host-associated:Insecta', 'type': 'biomes'}]"
